@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 86\nSize of the tree: 171\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

vowel,1,10,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,77,22,0,77.777778,22.222222,0,0.755556,0.094605,0.197588,57.235964,68.731175,342.48373,153.320287,189.163443,3.459432,1.54869,1.910742,203.956285,2.060164,59.552109,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,1,1,0.777778,0.022222,0.977778,0.222222,0.788925,0.777778,0.775504,0.758115,0.931089,0.741814,0.775504,0.777778,0.072,0.001,0.06,0,60,0,75170,128107,16435,100,91.64371,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
vowel,2,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,76,23,0,76.767677,23.232323,0,0.744444,0.101412,0.211354,61.354393,73.51957,342.48373,171.489251,170.994479,3.459432,1.732215,1.727217,190.573881,1.924989,55.644652,1,9,0.011111,1,0.988889,89,0,0,0.9,1,0.947368,0.943398,0.990741,0.837654,0.767677,0.023232,0.976768,0.232323,0.784066,0.767677,0.764408,0.748152,0.895679,0.664995,0.764408,0.767677,0.069,0.002,0.06,0,60,0,74454,128107,16435,97.979798,92.011019,'Number of leaves: 99\nSize of the tree: 197\n',197,99,99
vowel,2,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,78,21,0,78.787879,21.212121,0,0.766667,0.097378,0.199166,58.913869,69.279836,342.48373,155.791446,186.692284,3.459432,1.573651,1.885781,201.292193,2.033254,58.774235,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.787879,0.021212,0.978788,0.212121,0.804494,0.787879,0.784744,0.770587,0.927946,0.760513,0.784744,0.787879,0.064,0.001,0.06,0,60,0,75886,128107,16435,100,91.919192,'Number of leaves: 101\nSize of the tree: 201\n',201,101,101
vowel,2,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,77,22,0,77.777778,22.222222,0,0.755556,0.097873,0.200687,59.213269,69.809224,342.48373,157.206167,185.277563,3.459432,1.587941,1.871491,198.65377,2.006604,58.003856,0.666667,6,0,0,1,90,0.333333,3,1,0.666667,0.8,0.803219,0.940741,0.881741,0.777778,0.022222,0.977778,0.222222,0.807152,0.777778,0.780692,0.765552,0.931818,0.752084,0.780692,0.777778,0.034,0.001,0.03,0,30,0,71590,128107,16435,98.989899,92.011019,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95
vowel,2,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,89,10,0,89.89899,10.10101,0,0.888889,0.084043,0.172344,50.845736,59.949822,342.48373,119.467685,223.016045,3.459432,1.206744,2.252687,231.438368,2.337761,67.576456,1,9,0.022222,2,0.977778,88,0,0,0.818182,1,0.9,0.894427,0.991358,0.847222,0.89899,0.010101,0.989899,0.10101,0.908133,0.89899,0.896938,0.890874,0.958474,0.858238,0.896938,0.89899,0.037,0.001,0.04,0,40,0,75170,128107,16435,98.989899,90.541781,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
vowel,2,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,83,16,0,83.838384,16.161616,0,0.822222,0.087752,0.184284,53.08998,64.103435,342.48373,133.50213,208.981601,3.459432,1.348506,2.110925,221.348288,2.235841,64.630307,1,9,0.011111,1,0.988889,89,0,0,0.9,1,0.947368,0.943398,1,1,0.838384,0.016162,0.983838,0.161616,0.838889,0.838384,0.835373,0.821265,0.943322,0.777332,0.835373,0.838384,0.035,0.001,0.04,0,40,0,73022,128107,16435,100,90.266299,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97
vowel,2,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,73,26,0,73.737374,26.262626,0,0.711111,0.09706,0.20024,58.721073,69.653601,342.48373,159.956015,182.527716,3.459432,1.615717,1.843714,193.961399,1.959206,56.633756,1,9,0.022222,2,0.977778,88,0,0,0.818182,1,0.9,0.894427,0.997531,0.977778,0.737374,0.026263,0.973737,0.262626,0.745232,0.737374,0.72821,0.709872,0.929237,0.757161,0.72821,0.737374,0.034,0.001,0.03,0,30,0,74454,128107,16435,100,91.000918,'Number of leaves: 99\nSize of the tree: 197\n',197,99,99
vowel,2,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,75,24,0,75.757576,24.242424,0,0.733333,0.096947,0.204321,58.652743,71.073193,342.48373,165.62997,176.85376,3.459432,1.67303,1.786402,196.753963,1.987414,57.449142,1,9,0.011111,1,0.988889,89,0,0,0.9,1,0.947368,0.943398,0.99321,0.880556,0.757576,0.024242,0.975758,0.242424,0.753696,0.757576,0.748819,0.728843,0.904938,0.721684,0.748819,0.757576,0.037,0.001,0.03,0,30,0,80182,128107,16435,97.979798,89.807163,'Number of leaves: 107\nSize of the tree: 213\n',213,107,107
vowel,2,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,86,13,0,86.868687,13.131313,0,0.855556,0.087531,0.183125,52.956034,63.70014,342.48373,132.135512,210.348218,3.459432,1.334702,2.124729,221.449099,2.23686,64.659743,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.95,0.908889,0.868687,0.013131,0.986869,0.131313,0.870455,0.868687,0.867999,0.855829,0.946072,0.826348,0.867999,0.868687,0.035,0.001,0.03,0,30,0,72306,128107,16435,98.989899,90.541781,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
vowel,2,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,79,20,0,79.79798,20.20202,0,0.777778,0.092732,0.193641,56.102567,67.358061,342.48373,149.411773,193.071957,3.459432,1.50921,1.950222,209.98217,2.121032,61.311575,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.925926,0.903175,0.79798,0.020202,0.979798,0.20202,0.851637,0.79798,0.79762,0.79378,0.922503,0.748551,0.79762,0.79798,0.036,0.001,0.03,0,30,0,72306,128107,16435,98.989899,90.909091,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
