@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 18\nSize of the tree: 35\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ionosphere,1,10,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.746377,0.135768,0.310178,29.740066,65.295695,32.502297,16.802656,15.699641,0.928637,0.480076,0.448561,22.957324,0.655924,70.632929,0.833333,10,0.086957,2,0.913043,21,0.166667,2,0.833333,0.833333,0.833333,0.746377,0.905797,0.890476,0.885714,0.139337,0.860663,0.114286,0.885714,0.885714,0.885714,0.746377,0.905797,0.90335,0.873188,0.885714,0.01,0,0.01,0,10,0,7814,100232,13403,94.285714,58.571429,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
ionosphere,2,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,315,36,31,5,0,86.111111,13.888889,0,0.683099,0.169569,0.354112,36.78248,73.723374,33.969909,23.136507,10.833402,0.943609,0.642681,0.300928,21.742425,0.603956,64.004956,0.692308,9,0.043478,1,0.956522,22,0.307692,4,0.9,0.692308,0.782609,0.695792,0.83612,0.788034,0.861111,0.212282,0.787718,0.138889,0.865598,0.861111,0.856305,0.695792,0.83612,0.823693,0.840284,0.861111,0.009,0,0.01,0,10,0,7102,99923,13712,88.888889,56.944444,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ionosphere,2,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.738806,0.151974,0.331914,32.780461,68.668078,33.329976,20.857761,12.472215,0.952285,0.595936,0.356349,22.801412,0.651469,68.411128,0.692308,9,0,0,1,22,0.307692,4,1,0.692308,0.818182,0.765375,0.839161,0.806593,0.885714,0.193407,0.806593,0.114286,0.903297,0.885714,0.880087,0.765375,0.839161,0.827768,0.867424,0.885714,0.009,0,0.01,0,10,0,7102,100232,13403,88.571429,52.857143,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ionosphere,2,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,29,6,0,82.857143,17.142857,0,0.644068,0.174795,0.37021,37.702847,76.590899,33.329976,23.896415,9.433561,0.952285,0.682755,0.26953,20.518771,0.586251,61.562515,0.846154,11,0.181818,4,0.818182,18,0.153846,2,0.733333,0.846154,0.785714,0.648649,0.895105,0.891462,0.828571,0.164236,0.835764,0.171429,0.838095,0.828571,0.830612,0.648649,0.895105,0.891126,0.821429,0.828571,0.009,0,0.01,0,10,0,7814,100232,13403,94.285714,60,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
ionosphere,2,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,30,5,0,85.714286,14.285714,0,0.678899,0.161882,0.337555,34.917555,69.835044,33.329976,20.403935,12.926041,0.952285,0.58297,0.369315,21.815757,0.623307,65.453865,0.692308,9,0.045455,1,0.954545,21,0.307692,4,0.9,0.692308,0.782609,0.691861,0.886364,0.869154,0.857143,0.21029,0.78971,0.142857,0.862286,0.857143,0.852385,0.691861,0.886364,0.878354,0.838113,0.857143,0.008,0.001,0.01,0,10,0,9238,100232,13403,94.285714,65.714286,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
ionosphere,2,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,35,0,0,100,0,0,1,0.025297,0.031962,5.456415,6.612523,33.329976,1.303991,32.025985,0.952285,0.037257,0.915028,32.025985,0.915028,96.087633,1,13,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0,0.01,0,10,0,9594,100232,13403,100,61.428571,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
ionosphere,2,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.755245,0.142591,0.311698,30.756641,64.485783,33.329976,17.623001,15.706974,0.952285,0.503514,0.448771,23.363402,0.667526,70.097266,0.846154,11,0.090909,2,0.909091,20,0.153846,2,0.846154,0.846154,0.846154,0.755245,0.91958,0.889096,0.885714,0.13047,0.86953,0.114286,0.885714,0.885714,0.885714,0.755245,0.91958,0.908846,0.877622,0.885714,0.008,0,0.01,0,10,0,8526,100232,13403,94.285714,62.857143,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
ionosphere,2,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.746377,0.132993,0.296466,29.132342,62.409293,32.502297,13.933159,18.569138,0.928637,0.39809,0.530547,23.048523,0.658529,70.91352,0.833333,10,0.086957,2,0.913043,21,0.166667,2,0.833333,0.833333,0.833333,0.746377,0.969203,0.943744,0.885714,0.139337,0.860663,0.114286,0.885714,0.885714,0.885714,0.746377,0.969203,0.968781,0.873188,0.885714,0.008,0.001,0.01,0,10,0,8526,100232,13403,97.142857,61.428571,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
ionosphere,2,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,30,5,0,85.714286,14.285714,0,0.689165,0.165209,0.324671,36.189292,68.346781,32.502297,16.000646,16.501651,0.928637,0.457161,0.471476,20.760283,0.593151,63.873279,0.833333,10,0.130435,3,0.869565,20,0.166667,2,0.769231,0.833333,0.8,0.690501,0.952899,0.91688,0.857143,0.154244,0.845756,0.142857,0.861139,0.857143,0.858413,0.690501,0.952899,0.952229,0.844444,0.857143,0.009,0,0.01,0,10,0,8526,100232,13403,100,64.285714,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
ionosphere,2,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.756098,0.131975,0.304809,28.909392,64.165587,32.502297,15.798143,16.704154,0.928637,0.451376,0.477262,23.14024,0.66115,71.195707,0.916667,11,0.130435,3,0.869565,20,0.083333,1,0.785714,0.916667,0.846154,0.761783,0.963768,0.937923,0.885714,0.099482,0.900518,0.114286,0.895238,0.885714,0.887512,0.761783,0.963768,0.960582,0.877622,0.885714,0.01,0,0.01,0,10,0,9238,100232,13403,97.142857,65.714286,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
